"Name","Population","Median Housing Price per sqft","Personal Income"
"Harrisonburg, VA",136555,195,51466
"Hartford-East Hartford-Middletown, CT",1221725,211,69787
"Hattiesburg, MS",173359,144,44507
"Hickory-Lenoir-Morganton, NC",368347,196,49697
"Hilton Head Island-Bluffton, SC",228410,357,67794
"Hinesville, GA",86378,147,39616
"Homosassa Springs, FL",162529,199,45330
"Hot Springs, AR",100089,179,48507
"Houma-Thibodaux, LA",200656,132,50394
"Houston-The Woodlands-Sugar Land, TX",7340118,175,68344
"Huntington-Ashland, WV-KY-OH",354304,106,48311
"Huntsville, AL",514465,172,59677
"Idaho Falls, ID",165608,168,59280
"Indianapolis-Carmel-Anderson, IN",2141779,152,68719
"Iowa City, IA",178991,174,64399
"Ithaca, NY",104777,188,51169
"Jackson, MI",160066,135,46409
"Jackson, MS",583197,137,53606
"Jackson, TN",181579,150,49028
"Jacksonville, FL",1675668,228,62729
"Jacksonville, NC",207298,175,51585
"Janesville-Beloit, WI",164060,171,52517
"Jefferson City, MO",150350,140,51936
"Johnson City, TN",210256,196,48978
"Johnstown, PA",131441,75,47971
"Jonesboro, AR",135512,137,45736
"Joplin, MO",184086,137,44900
"Kahului-Wailuku-Lahaina, HI",164351,1084,60376
"Kalamazoo-Portage, MI",261173,159,59619
"Kankakee, IL",106074,141,51048
"Kansas City, MO-KS",2209494,192,63417
"Kennewick-Richland, WA",311469,256,51799
"Killeen-Temple, TX",496228,171,47680
"Kingsport-Bristol, TN-VA",311272,165,47442
"Kingston, NY",182319,287,62270
"Knoxville, TN",907968,218,58239
"Kokomo, IN",83574,111,47388
"La Crosse-Onalaska, WI-MN",139094,168,60402
"Lafayette-West Lafayette, IN",226452,155,48158
"Lafayette, LA",481125,148,52503
"Lake Charles, LA",207320,129,51799
"Lake Havasu City-Kingman, AZ",220816,254,44645
"Lakeland-Winter Haven, FL",787404,200,43223
"Lancaster, PA",556629,193,63044
"Lansing-East Lansing, MI",540870,137,50647
"Laredo, TX",267780,152,40873
"Las Cruces, NM",223337,182,45361
"Las Vegas-Henderson-Paradise, NV",2322985,258,59150
"Lawrence, KS",119964,185,52799
"Lawton, OK",128523,112,47719
"Lebanon, PA",144011,183,56207
"Lewiston-Auburn, ME",113023,204,49055
"Lewiston, ID-WA",65512,199,54393
"Lexington-Fayette, KY",517916,183,57875
"Lima, OH",101115,118,50195
"Lincoln, NE",342448,172,60299
"Little Rock-North Little Rock-Conway, AR",757615,149,55848
"Logan, UT-ID",155362,203,48059
"Longview, TX",291219,144,50727
"Longview, WA",111956,271,54630
"Los Angeles-Long Beach-Anaheim, CA",12872322,663,76445
"Louisville/Jefferson County, KY-IN",1284553,167,61490
"Lubbock, TX",328283,145,52295
"Lynchburg, VA",263613,181,48255
"Macon-Bibb County, GA",233916,122,46470
"Madera, CA",160256,249,46406
"Madison, WI",687077,230,71516
"Manchester-Nashua, NH",426594,270,71761
"Manhattan, KS",133072,113,52544
"Mankato, MN",104072,145,54537
"Mansfield, OH",125319,116,44998
"McAllen-Edinburg-Mission, TX",888367,153,33525
"Medford, OR",221644,289,57552
"Memphis, TN-MS-AR",1332305,161,56440
"Merced, CA",290014,263,46188
"Miami-Fort Lauderdale-Pompano Beach, FL",6139340,405,77732
"Michigan City-La Porte, IN",111675,151,49992
"Midland, MI",83674,157,60842
"Midland, TX",177216,184,143728
"Milwaukee-Waukesha, WI",1559792,193,68155
"Minneapolis-St. Paul-Bloomington, MN-WI",3693729,209,75164
"Missoula, MT",121041,348,63790
"Mobile, AL",426533,139,47447
"Modesto, CA",551275,293,51015
"Monroe, LA",202869,122,46638
"Monroe, MI",155609,163,52998
"Montgomery, AL",385460,132,49134
"Morgantown, WV",141041,161,52114
"Morristown, TN",146172,223,45286
"Mount Vernon-Anacortes, WA",131179,365,62915
"Muncie, IN",112031,94,45465
"Muskegon, MI",176565,163,45571
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",536165,234,50217
"Napa, CA",134300,757,86863
"Naples-Marco Island, FL",397994,490,131160
